Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
A1BG	3.5588596	2.2320316	1.661229	3.229844	4.5095534	7.3416705	5.2408137	2.555302	1.924394	1.5332592	1.6265286	5.525447	2.6791599	2.7901208	2.7155194	2.230483	2.401857	1.880906	1.4686407	2.4351664
A1CF	9.969004	10.505444	6.5654964	11.372966	7.2905917	15.538795	6.019337	19.330578	16.586298	14.464707	12.205987	11.466941	12.247146	12.537664	10.864507	15.144036	12.29161	15.428282	14.498883	10.6901
A2M	106.752625	107.153206	92.42162	83.95586	107.420044	121.739525	138.73666	56.32213	35.549427	21.397589	33.125656	38.975517	26.676126	44.366486	65.38851	36.885914	46.430386	49.381912	28.35656	44.74726
A4GALT	3.5487406	2.655698	3.487333	1.7275727	3.3205068	2.4132907	4.895684	2.04926	0.9512767	1.372656	0.7551453	2.439644	1.6644902	1.4749471	2.1212306	1.4302003	1.446984	2.714893	1.887412	2.14163
AAAS	14.76544	13.208346	14.306307	18.551142	14.04436	15.339136	11.434652	16.060692	20.286879	17.166021	14.866631	15.310058	10.054189	16.698935	15.720665	21.805208	15.165073	16.34473	14.1593485	18.143229
AACS	17.364302	14.24265	11.771996	12.2068205	11.782441	21.819656	13.690424	13.68697	18.470102	14.065304	16.3577	14.050454	15.471286	20.412539	15.300448	17.042368	14.028816	15.382171	17.55941	13.911245
AADAT	2.51184	1.781737	1.483827	1.109236	1.065647	2.753289	1.492184	1.699413	2.643923	1.431422	1.889702	0.962694	1.274598	1.7548839	1.322749	1.8076799	0.982651	1.55916	1.520933	1.4526867
AAED1	2.368556	2.1424773	1.87258	1.925806	2.577689	2.074857	3.172638	1.7051	1.2994132	0.887878	1.61909	2.837545	1.0460391	1.398074	1.748908	2.240605	1.587742	1.652211	1.383217	1.792688
AAGAB	34.123344	32.0637	28.136456	21.72545	24.916252	37.31867	22.20464	36.36624	37.839954	31.83525	28.050037	27.386953	41.186073	47.23993	33.51793	39.456936	31.207893	34.083004	43.183086	32.160755
AAK1	8.27213	7.0365787	7.943292	5.799432	7.728408	6.5847945	7.5109797	11.367148	9.134424	6.8112736	6.6157575	6.504066	9.196246	6.5816917	8.2472515	5.450452	10.626321	5.1854253	10.816614	8.189601
AAMDC	23.892967	17.8436	22.636797	21.187113	27.326834	28.539978	23.854649	32.73671	27.748526	24.18015	34.092907	30.024895	36.477665	28.990776	35.549507	26.716248	30.53465	30.259682	17.61171	32.706264
AAMP	59.91244	62.324112	60.721687	57.098087	62.473988	82.79952	57.65477	82.13286	73.32684	65.858505	75.39223	73.44431	87.88635	73.72047	76.179016	79.95046	72.127106	78.29738	74.64994	75.92544
AAR2	13.936529	12.204166	11.361383	8.658692	12.716241	12.821866	14.058061	12.795773	11.193471	8.136074	12.524288	12.761235	13.456295	12.536636	14.423886	12.665681	12.362174	13.120615	11.703891	12.3035145
AARS2	6.067575	5.2862897	4.5138106	5.97216	4.09639	4.9768205	5.36067	5.3349195	6.3152075	5.7433	4.84695	4.49731	7.0877404	4.8589573	4.38487	5.43792	4.94062	7.1401396	5.6485195	5.116602
AARSD1	18.651823	13.944915	10.183222	15.541289	11.507155	17.744993	13.53342	12.65509	16.225899	13.868609	14.830654	13.206448	16.839937	13.314435	15.516227	24.93469	11.827133	12.744836	13.045955	17.497044
AARS	22.657532	22.604088	20.076422	16.744835	20.027603	18.452126	21.067753	14.756831	16.452196	11.367265	14.613275	15.123689	13.605003	16.720795	14.969407	19.457502	16.280285	17.04135	16.719551	14.900965
AASDHPPT	12.594036	9.342945	8.595749	6.499073	11.029994	9.721201	10.997472	15.804948	11.755052	6.8067193	13.141547	14.865461	10.912917	10.297449	11.774441	11.782426	9.94745	13.228374	11.6635	9.532514
AASDH	3.614479	3.0657165	2.814575	2.724195	3.233039	3.657542	2.5662558	4.4885755	4.584576	2.749315	3.9656248	3.281929	2.818408	2.934084	3.7416341	4.9860106	2.5400753	3.873684	2.575107	3.601227
AASS	1.3107463	1.0119965	1.421641	1.9597018	1.6620791	0.96647024	1.508814	1.3298161	1.286211	0.3491128	0.595959	0.9225746	0.495184	0.540216	0.9206967	0.759091	0.333699	0.760379	0.3565026	1.2960788
AATF	15.40385	14.95147	16.260956	13.159581	16.709352	15.894544	14.440122	17.578688	14.946769	12.0272455	16.211906	15.525499	13.817736	16.485657	15.656594	19.312332	15.866452	16.26845	14.289302	15.819536
AATK	3.869064	3.4525962	2.4547532	1.7923468	1.8650173	0.39301082	2.29806	2.812699	3.629507	5.019434	1.8151824	2.041243	2.054556	2.87492	2.410804	1.2450552	2.7880661	2.593013	2.8375762	2.920008
ABAT	7.210518	3.512036	5.915641	5.5851674	7.7529635	5.52443	5.195135	8.356274	9.995383	6.770934	5.423019	8.112031	7.8826323	8.092131	10.05165	6.10838	7.4268823	7.5131993	6.262311	10.369569
